#
# Pó͘ 1-kóa "o͘" ê sû.
#
chintoo chín-tō͘
hoattoo hoat-tō͘
thengtoo thêng-tō͘
chhutloo chhut-lō͘
achoo a-chó͘
kunchoo kûn-cho͘
choothau cho͘-thâu
chootiunn cho͘-tiúⁿ
chhooloo chho͘-ló͘
chhoochhan chho͘-chhân
kichho͘ ki-chhó͘
chiantoo chiân-tô͘
chiaukoo chiàu-kò͘
chinpoo chìn-pō͘
chinchitpoo chìn-1-pō͘
soahkoo soah-kó͘
koogoeh kó͘-goe̍h
choochit cho͘-chit
choochhu chó͘-chhù
choochong chó͘-chong
choogai chó͘-gāi
chooke chó͘-ke
chookok chó͘-kok
chookong chó͘-kong
choosian chó͘-sian
chootong chó͘-tòng
choanpoo choân-pō͘
chongphoo chóng-pho͘
chungoo chū-ngó͘
chusoo chū-só͘
chuikhoo chùi-khò͘
chuiloo chúi-lō͘
khookoe khó͘-koe
goohoe gō͘-hōe
soochai só͘-chāi
hoothehluh ho͘-theh-luh
hoochhiu hô͘-chhiu
hoochoo hō͘-chō͘
hoochui hō͘-chúi
hoomia hō͘-mî-á
hoomoa hō͘-moa
hoosoann hō͘-sòaⁿ
hooteng hō͘-tēng
hoekimkoo hóe-kim-ko͘
hutchoo Hu̍t-chó͘
putchoo Pu̍t-chó͘
kealoo ke-á-lō͘
khimoochih khi-mo͘-chih
khichoo khí-cho͘
khoomisiong kho͘-mí-sióng
khoochhoo khó͘-chhó͘
khookhoo khó͘-khó͘-
kichhoo ki-chhó͘
koochiann ko͘-chiâⁿ
koochiau ko͘-chiáu
kootoann ko͘-toaⁿ
kookootoanntoann ko͘-ko͘-toaⁿ-toaⁿ
kooputjichiong ko͘-put-jī-chiong
kpjch ko͘-put-jī-chiong
koothong ko͘-thong
koocha kó͘-chá
koochalang kó͘-chá-lâng
koochek kó͘-chek
koochhoe kó͘-chhoe
koochinn kó͘-chíⁿ
koochui kó͘-chui
koosoann kò͘-soaⁿ
kooteng kò͘-tēng
koannloo kóaⁿ-lō͘
sanntengpoo Saⁿ-têng-po͘
lajiooh la-jí-o͘h
laukoopo lāu-ko͘-pô
koochiann ko͘-chiâⁿ
